City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mayo,US,2021-12-02 09:09:06,38.8876,-76.5119,50.29,86,20,3.44
67,Saint-Philippe,RE,2021-12-02 09:09:07,-21.3585,55.7679,83.75,84,47,13.44
68,Henties Bay,NA,2021-12-02 09:09:08,-22.116,14.2845,64.85,73,26,10.18
69,Nouadhibou,MR,2021-12-02 09:09:09,20.931,-17.0347,65.34,42,100,20.96
70,Georgetown,MY,2021-12-02 09:06:03,5.4112,100.3354,81.9,80,40,3.44
71,Upernavik,GL,2021-12-02 09:09:10,72.7868,-56.1549,26.06,91,100,7.94
72,Tuktoyaktuk,CA,2021-12-02 09:09:10,69.4541,-133.0374,-13.58,97,100,9.66
73,Carnarvon,AU,2021-12-02 09:09:11,-24.8667,113.6333,75.27,64,0,26.46
74,Bengkulu,ID,2021-12-02 09:09:12,-3.8004,102.2655,84.13,67,10,10.31
75,Mataura,NZ,2021-12-02 09:09:12,-46.1927,168.8643,56.48,79,100,2.77
76,Mahebourg,MU,2021-12-02 09:09:13,-20.4081,57.7,85.24,70,22,14.27
77,Busselton,AU,2021-12-02 09:09:13,-33.65,115.3333,78.08,45,5,17.02
78,Ilulissat,GL,2021-12-02 09:09:14,69.2167,-51.1,16.65,66,5,9.48
79,Da Lat,VN,2021-12-02 09:09:15,11.9465,108.4419,63.75,78,100,5.23
80,Comodoro Rivadavia,AR,2021-12-02 09:09:15,-45.8667,-67.5,51.66,43,0,12.66
81,Lazaro Cardenas,MX,2021-12-02 09:09:16,17.9583,-102.2,74.8,90,5,3.13
82,Bud,US,2021-12-02 09:09:16,39.447,-86.1758,49.3,93,95,11.86
83,Hilo,US,2021-12-02 09:09:17,19.7297,-155.09,75.27,86,75,5.75
84,Nelson Bay,AU,2021-12-02 09:09:18,-32.7167,152.15,72.0,85,0,9.73
85,Kattivakkam,IN,2021-12-02 09:09:19,13.2167,80.3167,87.89,68,31,13.0
86,Pontianak,ID,2021-12-02 09:09:19,-0.0333,109.3333,87.78,62,40,5.75
87,Krapivinskiy,RU,2021-12-02 09:09:20,54.9992,86.8133,22.64,91,100,4.05
88,Shelburne,CA,2021-12-02 09:05:59,44.0787,-80.2041,39.67,99,100,20.71
89,Bluff,NZ,2021-12-02 09:09:21,-46.6,168.3333,56.8,94,83,9.64
90,Hualmay,PE,2021-12-02 09:10:22,-11.0964,-77.6139,64.92,90,100,5.37
91,Owensboro,US,2021-12-02 09:08:01,37.7742,-87.1133,52.74,100,90,5.75
92,Massakory,TD,2021-12-02 09:10:23,12.996,15.7293,84.13,16,8,20.42
93,Amarillo,US,2021-12-02 09:10:23,35.222,-101.8313,51.1,43,1,1.99
94,Ayr,GB,2021-12-02 09:10:24,55.4627,-4.6339,36.1,86,20,4.61
95,Yarkovo,RU,2021-12-02 09:10:24,57.4028,67.0786,35.56,85,100,10.78
