City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
379,Artesia,US,33.8658,-118.0831,69.49,74,1,5.99,haze
380,Lovozero,RU,68.005,35.0117,-3.21,97,30,4.76,scattered clouds
381,San Ignacio,BZ,17.1561,-89.0714,75.34,94,75,0.0,broken clouds
382,Iralaya,HN,15.0,-83.2333,78.89,89,86,8.14,overcast clouds
383,Vieques,PR,18.425,-65.8329,80.91,83,40,11.5,scattered clouds
384,South Venice,US,27.0531,-82.4243,69.84,84,1,0.0,clear sky
385,Florence,IT,43.7667,11.25,56.48,89,40,9.22,scattered clouds
386,Ngunguru,NZ,-35.6167,174.5,74.16,81,48,13.18,scattered clouds
387,Kattivakkam,IN,13.2167,80.3167,78.08,89,6,5.44,clear sky
388,Aden,YE,12.7794,45.0367,79.02,65,0,12.5,clear sky
389,Nelson Bay,AU,-32.7167,152.15,70.09,68,100,4.0,overcast clouds
390,Nouadhibou,MR,20.931,-17.0347,64.38,72,100,14.97,overcast clouds
391,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,94,75,6.24,broken clouds
392,Brazzaville,CG,-4.2658,15.2832,73.76,94,100,2.3,overcast clouds
393,Sur,OM,22.5667,59.5289,72.1,61,5,6.06,clear sky
394,Macau,MO,22.2006,113.5461,64.13,63,0,13.8,clear sky
395,Alta Floresta,BR,-9.8756,-56.0861,72.52,97,98,2.1,overcast clouds
396,Sistranda,NO,63.7256,8.834,30.16,64,80,12.53,broken clouds
397,Half Moon Bay,US,37.4636,-122.4286,60.55,80,20,4.0,few clouds
398,Vila Velha,BR,-20.3297,-40.2925,75.94,83,75,3.44,broken clouds
399,Bengkulu,ID,-3.8004,102.2655,74.59,92,100,7.27,overcast clouds
400,Reinosa,ES,42.9996,-4.138,38.57,98,100,4.14,overcast clouds
401,Kloulklubed,PW,7.0419,134.2556,82.9,74,100,5.14,overcast clouds
402,Lata,PT,40.1629,-8.3327,50.81,91,64,5.73,broken clouds
403,Cherskiy,RU,68.75,161.3,-37.53,100,75,3.98,broken clouds
404,Margherita Di Savoia,IT,41.3742,16.1502,53.92,71,97,14.18,overcast clouds
405,Katobu,ID,-4.9408,122.5276,77.38,91,100,2.84,moderate rain
406,Kenai,US,60.5544,-151.2583,9.03,82,90,8.05,light snow
407,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.23,88,75,4.61,broken clouds
408,Faanui,PF,-16.4833,-151.75,81.12,68,65,13.27,broken clouds
409,Tortoli,IT,39.9256,9.6572,58.82,67,40,5.75,light rain
410,Saint-Joseph,RE,-21.3667,55.6167,75.58,81,19,9.86,few clouds
411,Kanniyakumari,IN,8.0833,77.5667,78.53,81,63,7.18,broken clouds
412,Tumarbong,PH,10.3766,119.4579,81.34,70,92,15.32,overcast clouds
413,Ifanadiana,MG,-21.3,47.6333,66.67,98,20,2.53,few clouds
414,Waipawa,NZ,-41.4122,175.5153,66.83,58,51,12.66,light rain
415,Puerto Madryn,AR,-42.7692,-65.0385,66.11,52,0,25.17,clear sky
