City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Hobyo,SO,78.17,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
598,Takaungu,KE,77.18,light rain,-3.6837,39.8566,Takaungu House
599,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
600,Kota Tinggi,MY,80.64,light rain,1.7381,103.8999,Canopy Tribe
601,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
607,Gamba,GA,77.32,overcast clouds,-2.65,10.0,
608,Otane,NZ,78.42,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
617,Guaruja,BR,78.91,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
622,Kongoussi,BF,75.25,broken clouds,13.3258,-1.5347,Hôtel La Sagesse
626,Labuhan,ID,81.03,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
630,Lazaro Cardenas,MX,78.22,broken clouds,17.9583,-102.2,quinta antigua
637,Sulangan,PH,79.79,overcast clouds,11.1373,123.7228,Maia's Beach Resort
641,Lagos,NG,80.92,broken clouds,6.5833,3.75,
643,Ciudad Bolivar,VE,82.62,overcast clouds,8.1222,-63.5497,Hotel Edi
648,Presidente Medici,BR,75.16,moderate rain,-11.1753,-61.9014,Oliveira Palace Hotel
650,Teahupoo,PF,78.53,light rain,-17.8333,-149.2667,Vanira Lodge
651,Buala,SB,84.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
652,Teluk Nibung,ID,77.94,overcast clouds,3.001,99.8164,Hotel Assyifa
654,Severiano Melo,BR,77.59,scattered clouds,-5.7772,-37.9578,Chácara Bela Vista
656,Thinadhoo,MV,81.93,moderate rain,0.5333,72.9333,
660,Le Vauclin,MQ,80.73,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
667,Hidalgotitlan,MX,75.22,clear sky,17.7833,-94.6333,
668,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
674,Ndele,CF,75.13,broken clouds,8.4109,20.6473,
677,Maputo,MZ,78.48,broken clouds,-25.9653,32.5892,Pestana Rovuma
678,Kulhudhuffushi,MV,82.13,broken clouds,6.6221,73.07,Haajy Guest House 1
686,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
687,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
